stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
15378,5378,STROOP RD @ 2800 STROOP RD,W Stroop Rd & Unnamed,39.688119,-84.114582,,,,,0
15379,5379,STROOP RD @ BRADDOCK,W Stroop Rd & Braddock St,39.688003,-84.116865,,,,,0
15383,5383,E STROOP RD @ GLASER,,39.688869,-84.129323,,,,,0
15392,5392,E STEWART ST @ 366 E STEWART ST,E Stewart St & Zehler Av,39.741498,-84.178494,,,,,0
15394,5394,E STEWART ST @ ALBERTA ST,E Stewart St & Alberta St,39.741621,-84.180343,,,,,0
15398,5398,STATE HWY 48 @ GARBER RD,,39.853729,-84.27356,,,,,0
15419,5419,W 3RD ST @ KILMER AV,,39.752965,-84.231135,,,,,0
15424,5424,BLACKWOOD AV @ WOODLEY RD,BLACKWOOD AVE & RANGELEY AVE,39.770337,-84.138333,,,,,0
15425,5425,BLACKWOOD AV @ RANGELEY AV,BLACKWOOD AVE & WOODLEY RD,39.772149,-84.138205,,,,,0
15426,5426,BLACKWOOD AV @ RADIO RD,BLACKWOOD AVE & RADIO RD,39.773381,-84.137735,,,,,0
15427,5427,RADIO RD @ WRIGHT AV,,39.773881,-84.139613,,,,,0
15428,5428,RADIO RD @ GARLAND AV,,39.773639,-84.141352,,,,,0
15429,5429,GARLAND AV @ WINSTON AV,,39.772717,-84.143395,,,,,0
15433,5433,RIVERSIDE DR @ ASHWOOD AV,,39.797892,-84.207305,,,,,0
15434,5434,RIVERSIDE DR @ BRUCE AV,,39.795929,-84.206697,,,,,0
15435,5435,RIVERSIDE DR @ FERNWOOD AV,,39.794054,-84.20624,,,,,0
15436,5436,RIVERSIDE DR @ MAPLEWOOD AV,,39.792194,-84.206306,,,,,0
15437,5437,RIVERSIDE DR @ BEECHWOOD AV,Riverside Dr & E Beechwood Av,39.79049,-84.206376,,,,,0
